ccf_ap	ccf_dv	ccf_lr	allen_ontology
8407.7	2024.3	2029.5	VISl
8426.5	2024.3	2055.5	VISl
8403.2	2005.2	2013.1	VISl
8422	2005.2	2039	VISl
8417.5	1986.2	2022.5	VISl
8436.2	1986.2	2048.4	VISl
8412.9	1967.1	2006	VISl
8431.7	1967.1	2031.9	VISl
8427.2	1948	2015.4	VISl
8446	1948	2041.3	VISl
8422.7	1928.9	1998.9	VISl
8441.5	1928.9	2024.8	VISl
8436.9	1909.9	2008.4	VISl
8455.7	1909.9	2034.3	VISl
8432.4	1890.8	1991.9	VISl
8451.2	1890.8	2017.8	VISl
8446.7	1871.7	2001.3	VISl
8465.5	1871.7	2027.2	VISl
8442.2	1852.7	1984.8	VISl
8461	1852.7	2010.7	VISl
8456.4	1833.6	1994.2	VISl
8475.2	1833.6	2020.1	VISl
8451.9	1814.5	1977.7	VISl
8470.7	1814.5	2003.6	VISl
8466.2	1795.4	1987.2	VISl
8485	1795.4	2013.1	VISl
8461.7	1776.4	1970.7	VISl
8475.9	1757.3	1980.1	VISl
8494.7	1757.3	2006	VISl
8471.4	1738.2	1963.6	VISl
8490.2	1738.2	1989.5	VISl
8485.7	1719.1	1973	VISl
8504.5	1719.1	1998.9	VISl
8481.2	1700.1	1956.5	VISl
8499.9	1700.1	1982.4	VISl
8495.4	1681	1966	VISl
8514.2	1681	1991.9	VISl
8490.9	1661.9	1949.5	VISl
8509.7	1661.9	1975.4	VISl
8505.2	1642.8	1958.9	VISl
8523.9	1642.8	1984.8	VISl
8500.6	1623.8	1942.4	VISl
8519.4	1623.8	1968.3	VISl
8514.9	1604.7	1951.8	VISl
8533.7	1604.7	1977.7	VISl
8510.4	1585.6	1935.3	VISl
8529.2	1585.6	1961.2	VISl
8524.7	1566.6	1944.8	VISl
8543.4	1566.6	1970.7	VISl
8520.1	1547.5	1928.3	VISl
8538.9	1547.5	1954.2	VISl
8534.4	1528.4	1937.7	VISl
8553.2	1528.4	1963.6	VISl
8529.9	1509.3	1921.2	VISl
8548.7	1509.3	1947.1	VISl
8544.1	1490.3	1930.6	VISl
8562.9	1490.3	1956.5	VISl
8539.6	1471.2	1914.1	VISl
8558.4	1471.2	1940	VISl
8553.9	1452.1	1923.6	VISl
8572.7	1452.1	1949.5	VISl
8549.4	1433	1907.1	VISl
8568.2	1433	1933	VISl
8582.4	1414	1942.4	VISl
8559.1	1394.9	1900	VISl
8577.9	1394.9	1925.9	VISl
8573.4	1375.8	1909.4	VISl
8592.2	1375.8	1935.3	VISl
8568.9	1356.8	1892.9	VISl
8587.6	1356.8	1918.8	VISl
8583.1	1337.7	1902.4	VISl
8601.9	1337.7	1928.3	VISl
8578.6	1318.6	1885.9	VISl
8597.4	1318.6	1911.8	VISl
8592.9	1299.5	1895.3	VISl
8611.7	1299.5	1921.2	VISl
8588.3	1280.5	1878.8	VISl
8607.1	1280.5	1904.7	VISl
8602.6	1261.4	1888.2	VISl
8621.4	1261.4	1914.1	VISl
8598.1	1242.3	1871.7	VISl
8616.9	1242.3	1897.6	VISl
8612.4	1223.2	1881.2	VISl
8631.1	1223.2	1907.1	VISl
8607.8	1204.2	1864.7	VISl
8626.6	1204.2	1890.6	root
8622.1	1185.1	1874.1	root
8640.9	1185.1	1900	root
8617.6	1166	1857.6	root
8636.4	1166	1883.5	root
8631.8	1147	1867	root
8650.6	1147	1892.9	root
8627.3	1127.9	1850.5	root
8646.1	1127.9	1876.4	root
8641.6	1108.8	1860	root
8660.4	1108.8	1885.9	root
8637.1	1089.7	1843.5	root
8655.9	1089.7	1869.4	root
8651.3	1070.7	1852.9	root
8670.1	1070.7	1878.8	root
8646.8	1051.6	1836.4	root
8661.1	1032.5	1845.8	root
8679.9	1032.5	1871.7	root
8656.6	1013.4	1829.3	root
8675.3	1013.4	1855.2	root
9374.5	3873.7	3726.4	root
9363	3873.7	3696.6	root
9377.5	3853.9	3742.4	root
9366.1	3853.9	3712.5	root
9369.1	3834.1	3728.5	root
9357.7	3834.1	3698.6	root
9372.2	3814.3	3744.4	root
9360.7	3814.3	3714.6	root
9363.8	3794.5	3730.5	root
9352.3	3794.5	3700.7	root
9366.8	3774.7	3746.5	root
9355.4	3774.7	3716.6	root
9358.4	3754.9	3732.6	root
9347	3754.9	3702.7	root
9361.5	3735.1	3748.6	root
9350	3735.1	3718.7	root
9353.1	3715.3	3734.6	root
9341.6	3715.3	3704.8	root
9356.2	3695.5	3750.6	root
9344.7	3695.5	3720.7	root
9347.7	3675.7	3736.7	root
9336.3	3675.7	3706.8	root
9350.8	3655.9	3752.7	root
9339.3	3655.9	3722.8	root
9342.4	3636.1	3738.7	root
9330.9	3636.1	3708.9	root
9345.5	3616.3	3754.7	root
9334	3616.3	3724.8	root
9337.1	3596.6	3740.8	root
9325.6	3596.6	3710.9	root
9340.1	3576.8	3756.8	root
9328.7	3576.8	3726.9	root
9331.7	3557	3742.8	root
9320.2	3557	3713	root
9334.8	3537.2	3758.8	root
